"country","2000_tb_deaths_per_100k","2001_tb_deaths_per_100k","2002_tb_deaths_per_100k","2003_tb_deaths_per_100k","2004_tb_deaths_per_100k","2005_tb_deaths_per_100k","2006_tb_deaths_per_100k","2007_tb_deaths_per_100k","2008_tb_deaths_per_100k","2009_tb_deaths_per_100k","2010_tb_deaths_per_100k","2000_gov_health_spending_usd","2001_gov_health_spending_usd","2002_gov_health_spending_usd","2003_gov_health_spending_usd","2004_gov_health_spending_usd","2005_gov_health_spending_usd","2006_gov_health_spending_usd","2007_gov_health_spending_usd","2008_gov_health_spending_usd","2009_gov_health_spending_usd","2010_gov_health_spending_usd"
"Dominican Republic",15,13,13,13,13,9,12,10,9.9,7.1,9.5,60.4,54.1,57.5,43.8,36.1,62.7,78,83.1,99.7,115,140
"Ecuador",13,11,10,9,8.3,8.5,8.1,7.5,6.9,6,5.6,16.7,27,36.3,32.1,37.5,40.5,48.8,55.5,71.6,112,122
"Egypt",1.5,1.5,1.4,1.5,1.2,1.3,1.1,1.1,1.1,0.89,0.75,31.8,30.7,29.6,23.4,23.8,26.8,33.3,34.9,42.7,44.9,46.1
"El Salvador",2.8,2.4,2.4,1.9,2.2,2.5,1.8,2.6,2.2,2.1,2.3,79.8,82.3,85.5,86.5,93.4,106,126,122,128,137,146
"Equatorial Guinea",71,69,68,68,68,72,76,79,81,76,73,21.5,38.6,114,82.7,108,135,185,260,418,612,681
"Eritrea",13,35,34,65,56,45,37,44,39,33,32,4.33,4.83,3.68,3.63,3.78,3.6,3.83,4.09,5.39,5.09,5.74
"Estonia",8.5,7.4,7.4,8.6,8,4.3,5.9,5.6,4.8,4.3,3.6,169,174,201,279,345,398,459,639,836,758,671
"Eswatini",301,313,345,397,414,447,463,475,469,533,270,42.4,36.6,34.5,63.6,68.9,82,97.6,97.9,104,112,129
"Ethiopia",161,149,129,116,104,97,92,83,71,61,53,2.85,3.23,2.87,3.43,3.43,4.14,4.61,6.7,7.29,8.33,8.41
"Fiji",1.9,1.8,2.1,3.1,3.9,3.3,2.9,4.2,2.6,2.1,3,67.1,53.5,64.4,76.5,96.2,107,113,113,116,102,108
"Finland",2.6,1.9,1.9,1.6,1.3,1.5,1.2,1.1,1.2,1,0.92,1210,1280,1470,1920,2230,2370,2470,2780,3170,3050,2990
"France",2.4,2.3,2.1,2,1.7,1.7,1.4,1.3,1.3,1.2,1.2,1750,1770,1980,2490,2860,2980,3110,3510,3840,3770,3650
"Gabon",198,212,244,249,229,173,146,183,168,144,132,43,44.8,44.4,67.2,73.2,69.4,81.5,103,115,127,160
"Gambia",40,37,35,34,30,36,44,42,36,33,40,6.34,6.81,5.91,7.62,9.97,10.4,10.9,10.4,12.7,14.3,13.3
"Georgia",7.8,7,7.5,6.7,6.9,5.4,5.3,4.9,5.2,5.5,5.7,7.61,9.54,10.3,11,14.8,23.6,30.9,33.4,51.8,55.9,64.2
"Germany",0.93,0.8,0.75,0.75,0.63,0.62,0.58,0.59,0.48,0.46,0.47,1900,1900,2060,2520,2710,2780,2860,3230,3610,3630,3600
"Ghana",90,85,84,82,81,80,78,77,73,66,67,6,8.65,7.24,9.21,16,23.1,27.1,40.9,39.8,30.9,39.9
"Greece",0.89,1.1,0.88,1.1,0.78,0.92,0.82,0.97,0.81,0.89,0.75,550,640,708,943,1070,1260,1420,1620,1850,1860,1620
"Grenada",1.3,1.3,0.94,1,2.5,2.2,1.2,1.6,1.9,2.7,1.4,177,231,187,177,158,197,217,212,214,227,198
"Guatemala",5.7,5.2,4.5,4.1,3.8,3.8,3.5,4,4.2,3.9,3.6,37.7,38.8,38.6,42.3,42.1,46,56.5,61.4,68.5,68.8,68.7
"Guinea",88,78,78,74,69,72,61,57,52,58,42,3.93,4.31,4.56,5.23,3.71,1.83,2.16,1.82,3.6,2.06,2.6
"Guinea-Bissau",119,118,121,126,127,137,127,133,133,133,134,1.74,1.49,3.96,4.7,3.39,3.74,3.65,4.44,5.07,5.08,4.7
